source_type,source_file,gstin,party_name,invoice_number,invoice_date,document_type,taxable_value,cgst,sgst,igst,cess,total_tax,invoice_value,original_row
tally,Purchase_details.xlsx [Purchase Register],07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,628,,Purchase,,,,,,,,"{""Date"": ""2025-04-14 00:00:00"", ""Particulars"": ""Roop Laxmi Sarees Private Limited"", ""Supplier"": ""Roop Laxmi Sarees Private Limited"", ""Supplier Address"": ""4247, Patli Gali Chowk, Jogiwara, Nai Sarak, North Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""70/2025-26"", ""Supplier Invoice No."": ""628"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AACCR8869H1ZU"", ""Sales Tax No."": null, ""PAN No."": ""AACCR8869H"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T2250,,Purchase,,,,,,,,"{""Date"": ""2025-04-14 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""71/2025-26"", ""Supplier Invoice No."": ""T2250"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AACCR8869H1ZU,Roop Laxmi Sarees Private Limited,686,,Purchase,,,,,,,,"{""Date"": ""2025-04-15 00:00:00"", ""Particulars"": ""Roop Laxmi Sarees Private Limited"", ""Supplier"": ""Roop Laxmi Sarees Private Limited"", ""Supplier Address"": ""4247, Patli Gali Chowk, Jogiwara, Nai Sarak, North Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""72/2025-26"", ""Supplier Invoice No."": ""686"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AACCR8869H1ZU"", ""Sales Tax No."": null, ""PAN No."": ""AACCR8869H"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T2479,,Purchase,,,,,,,,"{""Date"": ""2025-04-15 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""73/2025-26"", ""Supplier Invoice No."": ""T2479"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T2736,,Purchase,,,,,,,,"{""Date"": ""2025-04-16 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""74/2025-26"", ""Supplier Invoice No."": ""T2736"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T2867,,Purchase,,,,,,,,"{""Date"": ""2025-04-17 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""75/2025-26"", ""Supplier Invoice No."": ""T2867"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],29ACAPC5491P1Z5,Hi-Selection,59,,Purchase,,,,,,,,"{""Date"": ""2025-04-22 00:00:00"", ""Particulars"": ""Hi-Selection"", ""Supplier"": ""Hi-Selection"", ""Supplier Address"": ""No.41, Shop No. 3, MS Complex, Papanna Lane,, KR Shettypet JM Road Cross, Bengaluru Urban"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""76/2025-26"", ""Supplier Invoice No."": ""59"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""29ACAPC5491P1Z5"", ""Sales Tax No."": null, ""PAN No."": ""ACAPC5491P"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],24CRTPG5070Q1Z2,RUDRAY CREATIONS,132,,Purchase,,,,,,,,"{""Date"": ""2025-04-22 00:00:00"", ""Particulars"": ""RUDRAY CREATIONS"", ""Supplier"": ""RUDRAY CREATIONS"", ""Supplier Address"": null, ""Voucher Type"": ""Purchase"", ""Voucher No."": ""77/2025-26"", ""Supplier Invoice No."": ""132"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""24CRTPG5070Q1Z2"", ""Sales Tax No."": null, ""PAN No."": null, ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07AAXFS9006M1ZC,Suraj Bhan Sunil Kumar & Co,T3572,,Purchase,,,,,,,,"{""Date"": ""2025-04-22 00:00:00"", ""Particulars"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier"": ""Suraj Bhan Sunil Kumar & Co"", ""Supplier Address"": ""1490-1493, Gali Pipal Wali, Nai Sarak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""78/2025-26"", ""Supplier Invoice No."": ""T3572"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07AAXFS9006M1ZC"", ""Sales Tax No."": null, ""PAN No."": ""AAXFS9006M"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
tally,Purchase_details.xlsx [Purchase Register],07APRPG2889P1ZV,Pushpanjali Fashion,20,,Purchase,,,,,,,,"{""Date"": ""2025-04-28 00:00:00"", ""Particulars"": ""Pushpanjali Fashion"", ""Supplier"": ""Pushpanjali Fashion"", ""Supplier Address"": ""4369/71, Ground Floor, Gali Bhairo Wali Patli Gali,, Nai Sadak, Chandni Chowk, Central Delhi"", ""Voucher Type"": ""Purchase"", ""Voucher No."": ""79/2025-26"", ""Supplier Invoice No."": ""20"", ""Supplier Invoice Date"": null, ""GSTIN/UIN"": ""07APRPG2889P1ZV"", ""Sales Tax No."": null, ""PAN No."": ""APRPG2889P"", ""Narration"": null, ""Gross Total"": null, ""555 LEHNGA CREATION"": null}"
